-: limite inf‚rieure
+: limite sup‚rieure
Temp en 1/10 degres
Prec en mm
anomalies
    TJAN-TJAN TJAN+TJUL-TJUL TJUL+TANN-TANN TANN+PJAN-PJAN PJAN+PJUL-PJUL PJUL+PANN-PANN PANN+
1600  -53  -42  -25  -32  -14    3  -41  -30  -10  -41  -20   -7    1   11   27 -432 -222  -55
1603  -48  -30   -7  -56  -15   -4  -36  -22  -10  -36  -26  -14  -26   -3    8 -484 -329 -191
1604  -55  -37  -21  -37  -12    6  -42  -25   -6  -34  -20   -3   -5    3   43 -388 -243   15
1605  -52  -35  -10  -23  -13   -1  -43  -26  -14  -37  -22   -9  -26   -2   13 -476 -282  -98
1610  -48  -32   -5  -30   -6    7  -44  -19   -7  -36  -28  -13  -15    0   19 -429 -325 -180
1615  -48  -31  -10  -30   -2    6  -42  -16   -6  -37  -30  -15  -10    2   21 -417 -333 -187
1620  -43  -29    0  -13    1    9  -32  -12    2  -35  -24    1  -10    1    3 -361 -286 -126
1625  -45  -25   -6  -25   -8    5  -41  -18  -11  -36  -25   -7  -26   -5   11 -488 -330  -94
1630  -30   -5   26  -35  -17    0  -23  -11   -4  -27    1   48   -6    4   14 -356 -182   69
1635  -32  -13    8  -23   -4    7  -12   -6    9  -37  -11   18    3    8   27 -355 -201  -30
1640  -14   17   30  -38  -27  -10   -9   -5    2  -13   23   51   -4   10   17 -298  -53  106
1645  -96  -27   17  -32  -11    4  -63  -15   -6  -43  -10   36   -4    7   20 -465 -228   26
1650  -35  -25    2  -18   -6    5  -19  -10   -6  -36  -18    4   -2    6   22 -377 -235  -64
1655  -26    5   24  -36  -22   -5  -10   -7    0  -22   14   44   -3    7   16 -319  -96   63
1660   -6   13   27  -39  -25  -11   -8   -5    6   -8   19   50   -6    5   12 -294  -87   51
1665  -34   -8   16  -30  -14    5  -13   -7   -1  -38   -2   32    1    7   19 -361 -179   -4
1670  -69  -21    4  -20   -3    7  -25   -7    6  -40  -15   11   -4    3    8 -431 -249  -87
1675 -115  -33   -4  -33   -7    4  -63  -16   -6  -45  -17   28   -2    5   19 -474 -269  -27
1680  -22   16   36  -38  -21   -7  -11   -2   13  -21    6   41  -13    1   12 -387 -185   41
1685    3   19   29  -40  -28  -17   -7   -4    3   -5   21   47   -5    5   15 -318  -85   44
1690    3   20   29  -40  -31  -24   -8   -5    0   -3   24   48   -5    6   15 -300  -71   51
1695   13   24   36  -37  -27  -20   -6   -2    6  -23    8   30  -12    0   13 -427 -186  -22
1700    8   28   40  -42  -27  -16   -5    0   14  -19    8   38  -15    0   12 -441 -188  -12
1715   15   24   33  -41  -31  -23   -7   -4    2   -1   25   56   -5    6   19 -256  -63  158
1720   16   27   36  -37  -28  -22   -6   -1    5  -22   10   32  -12    0   12 -424 -166  -11
1725   17   28   37  -36  -27  -21   -5    0    6  -24    6   27  -15   -2    9 -436 -197  -39
1730   18   30   36  -46  -27  -22  -10    0    5  -16    9   65  -12   -1   19 -373 -177  248
1735   23   32   42  -29  -24  -12   -1    3   14  -20    2   34  -14   -5    9 -408 -233    2
1740    8   19   33  -52  -30  -23  -17   -6    3   -7   18   44   -5    5   34 -299  -91  118
1745    3   17   30  -67  -31  -25  -35   -7   -2    5   22   78   -4    4   20 -199  -54  380
1750   15   25   36  -37  -28  -22   -7   -3    5  -24   10   30  -12    0   13 -434 -159  -14
1755   22   31   41  -32  -24  -14   -2    2   14  -20    4   35  -14   -4   10 -406 -223   11
1760    9   23   32  -37  -27  -23  -11   -3    2   -6   10   24   -9    0    6 -291 -153  -38
1765   14   24   34  -35  -29  -24   -8   -3    0    7   24   45   -2    7   21 -175  -42  104
1770   16   29   36  -35  -27  -21   -4    0    6  -24   10   32  -12    1   15 -436 -163   13
