Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
122462;18;44;15;63;522;0;38;7;13;18;246;0;0;7;0;0;9
122659;0;2;42;0;113;0;73;4;0;42;621;6;0;80;0;2;15
122955;0;15;135;2;240;0;16;26;11;217;199;2;0;110;3;0;24
123152;0;0;245;0;0;0;4;4;0;454;13;13;0;180;38;0;48
123448;0;0;468;0;0;0;0;126;0;253;0;17;0;7;51;0;78
123645;0;0;501;0;0;0;0;132;0;215;0;3;0;0;49;3;98
123942;0;0;544;0;0;0;0;159;0;81;2;6;0;0;92;2;113
124139;0;0;230;0;0;0;0;347;0;40;0;29;0;0;69;5;281
124436;0;0;62;0;0;0;0;443;0;69;0;59;0;0;103;24;239
124634;0;0;124;0;0;0;0;34;0;186;0;96;0;0;149;19;392
125129;0;5;186;0;0;0;0;5;0;98;0;107;0;0;83;15;501
125625;0;8;8;0;0;8;0;8;0;293;0;44;0;0;58;97;475
126121;0;4;21;0;0;0;0;69;0;273;0;44;0;0;37;14;537
126618;0;0;8;0;0;0;0;16;0;468;0;16;0;0;103;32;357
127116;0;24;13;6;0;0;0;24;6;321;6;48;0;0;48;18;486
127614;0;21;29;0;0;0;0;56;0;399;21;21;0;0;56;7;392
128113;0;0;16;0;0;0;0;21;0;110;5;52;0;0;36;5;753
128612;0;0;12;0;12;0;0;32;0;90;4;20;0;0;51;0;779
