Longitude;Latitude;SampleName
15;58.8;Barboni_a364
14.2;57.5;Barboni_a365
17.7;60.3;Barboni_a366
19.2;68.3;Barboni_a367
19.2;68.3;Barboni_a368
20.8;69;Barboni_a369
15.63;40.32;Barboni_a37
20.8;69;Barboni_a370
21.8;68;Barboni_a371
22.3;68.5;Barboni_a372
22.2;68.5;Barboni_a373
-6.5;37.11666667;Barboni_a374
3;47;Barboni_a375
33.81666667;37.5;Barboni_a376
-4.016667;43.117886;Barboni_a377
0.55;40.76;Barboni_a378
-6.233333;41.966667;Barboni_a379
15.63;40.32;Barboni_a38
27.831944;43.187222;Barboni_a380
29.95;36.58333333;Barboni_a381
-4.868889;36.967222;Barboni_a382
-5.067222;36.818889;Barboni_a383
-5.35;36.517222;Barboni_a384
-5.368889;36.467222;Barboni_a385
-5.417222;36.318889;Barboni_a386
-3.617222;37.018889;Barboni_a387
-3.517222;36.917222;Barboni_a388
-3.35;36.95;Barboni_a389
15.63;40.32;Barboni_a39
-3.35;36.918889;Barboni_a390
-3.268889;36.95;Barboni_a391
-3.218889;36.95;Barboni_a392
-3.017222;37.018889;Barboni_a393
-3.017222;37.1;Barboni_a394
-3.018889;37.117222;Barboni_a395
-3.05;37.15;Barboni_a396
-2.917222;37.167222;Barboni_a397
-3.117222;37.168889;Barboni_a398
-6.15;37.618889;Barboni_a399
27.11;44.08;Barboni_a4
15.65;40.32;Barboni_a40
-6.368889;37.767222;Barboni_a400
-6.618889;37.917222;Barboni_a401
-6.718889;38.018889;Barboni_a402
-3.317222;42.368889;Barboni_a403
-3.867222;42.618889;Barboni_a404
-4.818889;43.317222;Barboni_a405
-4.917222;43.318889;Barboni_a406
-5.017222;43.35;Barboni_a407
-4.968889;43.267222;Barboni_a408
-5.05;43.3;Barboni_a409
15.65;40.32;Barboni_a41
-5.05;43.3;Barboni_a410
-4.918889;43.418889;Barboni_a411
-4.968889;43.417222;Barboni_a412
-5;43.4;Barboni_a413
-5.018889;43.368889;Barboni_a414
-3.65;39.1;Barboni_a415
-4.8;43.15;Barboni_a416
-4.817222;43.15;Barboni_a417
-4.817222;43.118889;Barboni_a418
-4.767222;43.117222;Barboni_a419
15.65;40.32;Barboni_a42
-4.718889;43.118889;Barboni_a420
-4.668889;43.167222;Barboni_a421
-4.767222;43.067222;Barboni_a422
-4.75;43.068889;Barboni_a423
-4.85;43.068889;Barboni_a424
-4.867222;43.117222;Barboni_a425
-4.7;43.1;Barboni_a426
-4.668889;43.1;Barboni_a427
-4.618889;43.117222;Barboni_a428
-4.568889;43.218889;Barboni_a429
15.65;40.32;Barboni_a43
-5.85;39.168889;Barboni_a430
-5.368889;39.367222;Barboni_a431
-5.318889;39.368889;Barboni_a432
-5.318889;39.468889;Barboni_a433
-5.318889;39.468889;Barboni_a434
-5.35;39.517222;Barboni_a435
-5.367222;39.518889;Barboni_a436
-5.417222;39.6;Barboni_a437
-6.468889;40.567222;Barboni_a438
-6.418889;40.55;Barboni_a439
15.7;40.28;Barboni_a44
-6.318889;40.517222;Barboni_a440
-6.2;40.517222;Barboni_a441
-6.167222;40.517222;Barboni_a442
-6.118889;40.517222;Barboni_a443
-6.117222;40.467222;Barboni_a444
-6.118889;40.5;Barboni_a445
-6.15;40.418889;Barboni_a446
-6.018888889;40.45;Barboni_a447
-6.367222;40.1;Barboni_a448
-6.4;40.118889;Barboni_a449
15.7;40.28;Barboni_a45
-6.5;40.118889;Barboni_a450
-6.5;40.268889;Barboni_a451
-6.45;40.318889;Barboni_a452
-6.45;40.35;Barboni_a453
-6.467222;40.367222;Barboni_a454
-6.45;40.368889;Barboni_a455
-6.468889;40.467222;Barboni_a456
-6.5;40.5;Barboni_a457
-6.2;40.368889;Barboni_a458
-6.5;40.4;Barboni_a459
15.7;40.28;Barboni_a46
-6.7;40.367222;Barboni_a460
-7;40.367222;Barboni_a461
-7.2;40.318889;Barboni_a462
-7;40.3;Barboni_a463
-6.8;40.3;Barboni_a464
-7.7;40.25;Barboni_a465
-7.8;40.2;Barboni_a466
-7.2;40.05;Barboni_a467
-2.768889;41.7;Barboni_a468
-2.668889;41.717222;Barboni_a469
15.7;40.28;Barboni_a47
-2.067222;41.818889;Barboni_a470
-2.117222;41.8;Barboni_a471
-1.968889;41.85;Barboni_a472
-1.85;41.818889;Barboni_a473
-1.818889;41.817222;Barboni_a474
-1.817222;41.8;Barboni_a475
-1.817222;41.768889;Barboni_a476
-1.818889;41.8;Barboni_a477
